,att_id,att_name,att_cat,att_price
0,159,San Ho seafood restaurant,"Ẩm thực, nghỉ ngơi",230338
1,142,Phố đường tàu Hà Nội,"Chụp ảnh, trải nghiệm, thư giãn",327394
2,34,Công viên Indira Gandhi,"Công viên, đi dạo, ngắm cảnh",789826
3,31,Bảo tàng Hồ Chí Minh,"Văn hóa, lịch sử, nghệ thuật",433781
4,153,Tam An Lac,Ẩm thực chay,594200
5,120,Vincom Center Phạm Ngọc Thạch,Trung tâm thương mại,529411
6,144,Phở Biên,"Ẩm thực, nghỉ ngơi",85823
7,131,Bánh Cuốn Bà Hoành,"Ẩm thực, nghỉ ngơi",133737
8,142,Phố đường tàu Hà Nội,"Chụp ảnh, trải nghiệm, thư giãn",327394
9,58,Bún Bò Huế An Cựu,"Ẩm thực, nghỉ ngơi",127826
10,44,Highlands Coffee Kim Mã,"Đồ uống, thư giãn",77394
11,1,Hồ Trúc Bạch,"Đi dạo, ngắm cảnh",31776
12,165,Bảo Tàng Phụ Nữ Việt Nam,"Văn hóa, lịch sử, nghệ thuật",746222
13,106,Skyline Coffee,"Đồ uống, thư giãn",427620
