,att_id,att_name,att_cat,att_price,score
157,165,Bảo Tàng Phụ Nữ Việt Nam,"Văn hóa, lịch sử, nghệ thuật",746222,5.0
154,162,Trung Nguyên Legend Café,"Đồ uống, thư giãn",362631,4.993571542975289
7,8,Nhà Thờ Cửa Bắc,"Văn hóa tôn giáo, tâm linh",171378,4.699988351606748
116,122,The Sipping Bar - Waterfront,"Đồ uống, thư giãn",340036,4.548741245504445
150,158,Bảo tàng Công An Hà Nội,"Văn hóa, lịch sử, nghệ thuật",240894,4.464705368453238
81,85,TreeLand Coffee,"Đồ uống, thư giãn",924501,4.289302406849259
137,145,Xôi Yến,"Ẩm thực, nghỉ ngơi",504776,4.266202186985836
98,102,The Coffee House,"Đồ uống, thư giãn",637085,4.17432548522838
174,184,Đền Gióng Sóc Sơn,"Văn hóa tôn giáo, tâm linh",19621,3.8594912564248176
180,190,Trung tâm Nghệ thuật đương đại Vincom,"Triển lãm, nghệ thuật",470908,3.8342288035644145
26,28,Quảng trường Ba Đình,"Văn hóa, lịch sử, nghệ thuật",702329,3.7916320854992023
36,38,Quán Xôi Xéo Oanh Oanh,"Ẩm thực, nghỉ ngơi",825182,3.7164926687924975
0,1,Hồ Trúc Bạch,"Đi dạo, ngắm cảnh",31776,3.697025291573837
178,188,Bún Bò Huế Ngự Uyển,"Ẩm thực, nghỉ ngơi",36131,3.6089998398345955
120,126,Highlands Coffee Trần Nhân Tông,"Đồ uống, thư giãn",327175,3.555621077767583
27,29,Lăng Chủ tịch Hồ Chí Minh,"Văn hóa, lịch sử, nghệ thuật",692180,3.5366633177536073
104,108,Gieo CafeGieo Cafe,"Đồ uống, thư giãn",27184,3.5249275615544775
112,118,Bánh Mỳ Ô Long,"Ẩm thực, nghỉ ngơi",197167,3.4687968665822098
15,17,Nhà sàn Bác Hồ,"Văn hóa, lịch sử, nghệ thuật",954293,3.4615603022757995
5,6,Đền Quán Thánh,"Văn hóa, lịch sử, nghệ thuật",339314,3.460854118435037
166,175,Nhà Thờ Lớn Hà Nội,"Văn hóa tôn giáo, tâm linh",186181,3.4435562544591534
132,138,Phê La Hàng Cót,"Đồ uống, thư giãn",54152,3.3761338982804006
78,82,Bảo tàng Dân tộc học Việt Nam,"Văn hóa, lịch sử, nghệ thuật",354982,3.37354213078234
121,127,Phở Thìn 13 Lò Đúc,"Ẩm thực, nghỉ ngơi",929502,3.3433291107907763
118,124,Ưu Đàm Chay,Ẩm thực chay,646243,3.335466445347194
102,106,Skyline Coffee,"Đồ uống, thư giãn",427620,3.331469590413377
167,176,Quảng Trường Đông Kinh Nghĩa Thục,"Đi dạo, ngắm cảnh",463683,3.3304357955124573
57,59,Bảo tàng Chiến thắng B-52,"Văn hóa, lịch sử, nghệ thuật",670558,3.328484689643119
18,20,Vườn hoa Lênin,"Đi dạo, ngắm cảnh",661955,3.3227551362134022
55,57,Quán Cháo Sườn sụn Đội Cấn,"Ẩm thực, nghỉ ngơi",291595,3.2990069744754607
1,2,Hanoi Studio Gallery,"Văn hóa, lịch sử, nghệ thuật",1951,3.288319573668801
38,40,Công viên Thủ Lệ,"Công viên, giải trí, đi dạo, ngắm cảnh",568177,3.265845454942564
109,114,Cháo Hồng Lương Sử,"Ẩm thực, nghỉ ngơi",626667,3.2629115158927817
43,45,AHA Cafe,"Đồ uống, thư giãn",898826,3.2542189024301535
160,168,Kem Tràng Tiền Hồ Gươm,"Ẩm thực, nghỉ ngơi",368928,3.2446672199653506
25,27,An Nhien Cafe Khuc Hao,"Đồ uống, thư giãn",41917,3.2413983896096283
9,10,Manzi Art Space and Cafe,"Đồ uống, thư giãn",197745,3.2179559981944976
64,67,Twitter Beans Coffee Vũ Phạm Hàm,"Đồ uống, thư giãn",634854,3.1848017589073834
105,109,Công Viên 1/6,"Công viên, đi dạo, ngắm cảnh",17924,3.167067080184623
135,143,Phở đường tàu ( Various Beef Noodles),"Ẩm thực, nghỉ ngơi",549520,3.1431514727937184
28,30,Chùa Một Cột,"Văn hóa tôn giáo, tâm linh",116520,3.142124958138581
66,69,Highlands Coffee Vũ Phạm Hàm,"Đồ uống, thư giãn",758676,3.110448608745031
20,22,Cột cờ Hà Nội,"Văn hóa, lịch sử, nghệ thuật",991362,3.107318103059157
100,104,Xưởng Cafe Hoàng Cầu,"Đồ uống, thư giãn",456860,3.061387032426211
99,103,Cộng Cà Phê Thái Hà,"Đồ uống, thư giãn",765550,3.0562180579216403
96,100,Chè Thanh Vĩnh Hồ,"Ẩm thực, nghỉ ngơi",130857,3.009828331804485
44,46,Paris Gateaux Cafe,"Đồ uống, thư giãn",931441,2.9661832583468026
73,77,Bún Riêu Bề Bề Tiến Huân,"Ẩm thực, nghỉ ngơi",372286,2.964399598130427
124,130,Vincom Center Bà Triệu,Trung tâm thương mại,436358,2.92711745948543
48,50,Phê La Núi Trúc,"Đồ uống, thư giãn",859799,2.9248387425559486
94,98,Cộng Cà phê Đường Láng,"Đồ uống, thư giãn",676269,2.8693123079835203
111,116,Bánh Đúc Nóng Trung Tự,"Ẩm thực, nghỉ ngơi",923260,2.8345418541329934
95,99,Laika Cafe Đường Láng,"Đồ uống, thư giãn",410539,2.8290889500429586
134,141,Dream Beans Coffee Roastery,"Đồ uống, thư giãn",435582,2.8234904410372934
141,149,Nhà hàng chay Sadhu,Ẩm thực chay,82722,2.8173240728607
97,101,Quán Bánh mì 35,"Ẩm thực, nghỉ ngơi",365785,2.7761106014939116
45,47,Highlands Coffee VTV,"Đồ uống, thư giãn",400304,2.7723976761455447
50,52,Lẩu Ếch Hà My,"Ẩm thực, nghỉ ngơi",851755,2.7691652470187336
53,55,Quán Lươn Nghệ An Bà Liêm,"Ẩm thực, nghỉ ngơi",987828,2.7606546397006326
108,113,Bánh Xèo Tôn Đức Thắng,"Ẩm thực, nghỉ ngơi",9676,2.7587108140770766
29,31,Bảo tàng Hồ Chí Minh,"Văn hóa, lịch sử, nghệ thuật",433781,2.6911646937200544
75,79,Cốm Làng Vòng Bà Hoản,"Ẩm thực, nghỉ ngơi",689225,2.683367550488498
142,150,Highlands Coffee Lê Duẩn,"Đồ uống, thư giãn",878897,2.6634123968025136
31,33,Chè Thái Đội Cấn,"Ẩm thực, nghỉ ngơi",152360,2.640042807845191
153,161,Bún riêu Huyền Thu,"Ẩm thực, nghỉ ngơi",313476,2.6398098399802024
42,44,Highlands Coffee Kim Mã,"Đồ uống, thư giãn",77394,2.619614438183433
145,153,Tam An Lac,Ẩm thực chay,594200,2.604427845484068
162,170,Green Palm Gallery,"Triển lãm, nghệ thuật",366307,2.587297427161147
89,93,Nhà Hàng Vịt Vân Đình Minh Phương,"Ẩm thực, nghỉ ngơi",82089,2.580774326941281
113,119,Vincom Center Phạm Ngọc Thạch,Trung tâm thương mại,636954,2.5502773773642673
182,192,Vinhomes Royal City,Trung tâm thương mại,326249,2.541941495944897
77,81,Chùa Hà,"Văn hóa tôn giáo, tâm linh",61296,2.5170794566024597
107,112,The Coffee House Hào Nam,"Đồ uống, thư giãn",764715,2.500131044424066
56,58,Bún Bò Huế An Cựu,"Ẩm thực, nghỉ ngơi",127826,2.492261098734687
30,32,Quán Bánh Cuốn Nóng Gia Truyền Đội Cấn,"Ẩm thực, nghỉ ngơi",104805,2.4891160325572628
106,110,Nhà hát Múa rối Việt Nam,Biểu diễn nghệ thuật dân gian,543614,2.474854031072084
33,35,Đình Làng Thành Công,"Văn hóa, lịch sử, nghệ thuật",101859,2.4593689482956904
61,63,Twitter Beans Coffee Hoàng Đạo Thúy,"Đồ uống, thư giãn",844696,2.4342229793677888
35,37,Miến Lươn Huyền Trang,"Ẩm thực, nghỉ ngơi",463803,2.424125278469404
