,att_id,att_name,att_cat,att_price,score
64,81,Chùa Hà,"Văn hóa tôn giáo, tâm linh",61296,5.0
5,8,Nhà Thờ Cửa Bắc,"Văn hóa tôn giáo, tâm linh",171378,4.86840343916505
133,158,Bảo tàng Công An Hà Nội,"Văn hóa, lịch sử, nghệ thuật",240894,4.806409811890489
156,183,Điểm Cắm Trại Hồ Hàm Lợn,"Cắm trại, leo núi, trekking",926175,4.625854743993749
18,23,Hoàng Thành Thăng Long,"Văn hóa, lịch sử, nghệ thuật",39092,4.575936158633468
22,27,An Nhien Cafe Khuc Hao,"Đồ uống, thư giãn",41917,4.5058339843578565
132,157,Chùa Quán Sứ,"Văn hóa tôn giáo, tâm linh",307802,4.279551758643997
89,111,Vua Chả Cá Giảng Võ,"Ẩm thực, nghỉ ngơi",566429,4.258484897694061
24,29,Lăng Chủ tịch Hồ Chí Minh,"Văn hóa, lịch sử, nghệ thuật",692180,4.112136048032447
26,32,Quán Bánh Cuốn Nóng Gia Truyền Đội Cấn,"Ẩm thực, nghỉ ngơi",104805,4.076454052298487
140,165,Bảo Tàng Phụ Nữ Việt Nam,"Văn hóa, lịch sử, nghệ thuật",746222,4.060001053343051
0,1,Hồ Trúc Bạch,"Đi dạo, ngắm cảnh",31776,4.049933946613066
141,166,The Coffee House,"Đồ uống, thư giãn",20347,3.9857239100093906
98,122,The Sipping Bar - Waterfront,"Đồ uống, thư giãn",340036,3.9765565337991475
121,145,Xôi Yến,"Ẩm thực, nghỉ ngơi",504776,3.963461065807607
32,39,Phở Lý Quốc Sư,"Ẩm thực, nghỉ ngơi",383746,3.8981592830244978
102,126,Highlands Coffee Trần Nhân Tông,"Đồ uống, thư giãn",327175,3.8748046926432806
27,33,Chè Thái Đội Cấn,"Ẩm thực, nghỉ ngơi",152360,3.860216988667787
65,82,Bảo tàng Dân tộc học Việt Nam,"Văn hóa, lịch sử, nghệ thuật",354982,3.720484450023264
84,106,Skyline Coffee,"Đồ uống, thư giãn",427620,3.6789267751024823
129,154,Bami Bread Bánh Mì Hội An,"Ẩm thực, nghỉ ngơi",840778,3.661974535431831
139,164,Bún Đậu Cô Tuyến Mắm Tôm Hàng Khay,"Ẩm thực, nghỉ ngơi",937965,3.600315564021315
23,28,Quảng trường Ba Đình,"Văn hóa, lịch sử, nghệ thuật",702329,3.5836870078912995
90,112,The Coffee House Hào Nam,"Đồ uống, thư giãn",764715,3.572127665177355
100,124,Ưu Đàm Chay,Ẩm thực chay,646243,3.54887182570684
37,44,Highlands Coffee Kim Mã,"Đồ uống, thư giãn",77394,3.5397812557604738
54,69,Highlands Coffee Vũ Phạm Hàm,"Đồ uống, thư giãn",758676,3.5102986227539645
31,38,Quán Xôi Xéo Oanh Oanh,"Ẩm thực, nghỉ ngơi",825182,3.4984046241759827
72,93,Nhà Hàng Vịt Vân Đình Minh Phương,"Ẩm thực, nghỉ ngơi",82089,3.483103719178743
135,160,Di tích Nhà tù Hỏa Lò,"Văn hóa, lịch sử, nghệ thuật",963179,3.4760594875486106
119,143,Phở đường tàu ( Various Beef Noodles),"Ẩm thực, nghỉ ngơi",549520,3.4757851794633225
30,37,Miến Lươn Huyền Trang,"Ẩm thực, nghỉ ngơi",463803,3.4736236317512734
41,52,Lẩu Ếch Hà My,"Ẩm thực, nghỉ ngơi",851755,3.445408302098791
82,104,Xưởng Cafe Hoàng Cầu,"Đồ uống, thư giãn",456860,3.410203602433228
112,136,Vincom Mega Mall Times City,Trung tâm thương mại,178104,3.3465147511915987
101,125,MONO Coffee Lab,"Đồ uống, thư giãn",484246,3.3376655723602795
83,105,Tiny Cafe Dreamers,"Đồ uống, thư giãn",636333,3.3031082397759874
74,95,Nhà Hàng Chả Cá Lão Ngư,"Ẩm thực, nghỉ ngơi",877421,3.2606234035269424
91,113,Bánh Xèo Tôn Đức Thắng,"Ẩm thực, nghỉ ngơi",9676,3.2241404281839507
51,66,Cafe Nhạc Trịnh,"Đồ uống, thư giãn",69700,3.2213534580374485
110,134,Highlands Coffee Trần Đại Nghĩa,"Đồ uống, thư giãn",616485,3.2204866444879485
144,169,Cyril Kongo Hanoi Gallery,"Triển lãm, nghệ thuật",758680,3.215735628450794
71,90,PHỞ GÀ VĂN MIẾU 17,"Ẩm thực, nghỉ ngơi",484027,3.209289388446585
1,2,Hanoi Studio Gallery,"Văn hóa, lịch sử, nghệ thuật",1951,3.2092400129912306
92,114,Cháo Hồng Lương Sử,"Ẩm thực, nghỉ ngơi",626667,3.1949211309393206
95,119,Vincom Center Phạm Ngọc Thạch,Trung tâm thương mại,636954,3.1719615442009115
87,109,Công Viên 1/6,"Công viên, đi dạo, ngắm cảnh",17924,3.1490897360497883
25,31,Bảo tàng Hồ Chí Minh,"Văn hóa, lịch sử, nghệ thuật",433781,3.1345130043977107
131,156,Quán Chay Bồ Đề,Ẩm thực chay,564464,3.104926134318795
136,161,Bún riêu Huyền Thu,"Ẩm thực, nghỉ ngơi",313476,3.044155921104611
127,152,Namaste Ha Noi,"Ẩm thực, nghỉ ngơi",575203,3.0318504603986938
42,53,Miến lươn Sành Phố Cổ,"Ẩm thực, nghỉ ngơi",379066,3.0186891584666853
61,78,Trâu Kinh Bắc Thành Thái,"Ẩm thực, nghỉ ngơi",789514,3.003624158422795
40,49,Vincom Metropolis Liễu Giai,Trung tâm thương mại,32546,2.992426902381432
8,11,TỔ CHIM XANH - BLUEBIRDS' NEST,"Đồ uống, thư giãn",610738,2.985838022172871
105,129,Highlands Coffee Lò Đúc,"Đồ uống, thư giãn",821714,2.972835818930335
151,178,Tượng Đài Vua Lý Thái Tổ,"Đi dạo, ngắm cảnh",961433,2.9639811539373113
109,133,Starbucks Ba Trieu,"Đồ uống, thư giãn",449917,2.9558122591575042
33,40,Công viên Thủ Lệ,"Công viên, giải trí, đi dạo, ngắm cảnh",568177,2.9464418949641455
39,46,Paris Gateaux Cafe,"Đồ uống, thư giãn",931441,2.9431282532938923
128,153,Tam An Lac,Ẩm thực chay,594200,2.9295445169105463
114,138,Phê La Hàng Cót,"Đồ uống, thư giãn",54152,2.9242393985411184
158,185,Du lịch sinh thái Bản Rõm,"Du lịch sinh thái, cắm trại",597285,2.88599536529059
159,186,Việt Phủ Thành Chương,"Kiến trúc, nghệ thuật",223263,2.882539083415992
150,177,Hồ Gươm (Phố đi bộ hồ Gươm),"Đi dạo, ngắm cảnh",966805,2.8495891962114754
125,150,Highlands Coffee Lê Duẩn,"Đồ uống, thư giãn",878897,2.8400323025201217
3,5,Đường Phan Đình Phùng,"Đi dạo, ngắm cảnh",217221,2.799807764893835
86,108,Gieo CafeGieo Cafe,"Đồ uống, thư giãn",27184,2.7882923114735405
9,12,Phở Cuốn Hương Mai,"Ẩm thực, nghỉ ngơi",311895,2.7788615995014183
149,175,Nhà Thờ Lớn Hà Nội,"Văn hóa tôn giáo, tâm linh",186181,2.776634217848901
16,20,Vườn hoa Lênin,"Đi dạo, ngắm cảnh",661955,2.7748402429711305
7,10,Manzi Art Space and Cafe,"Đồ uống, thư giãn",197745,2.772365984041855
142,167,Tràng Tiền Plaza,Trung tâm thương mại,42068,2.7639886151172277
77,98,Cộng Cà phê Đường Láng,"Đồ uống, thư giãn",676269,2.762995619848496
145,170,Green Palm Gallery,"Triển lãm, nghệ thuật",366307,2.761327826689957
85,107,Công viên Văn hóa Đống Đa,"Công viên, văn hóa, lịch sử",432697,2.751962948658303
161,188,Bún Bò Huế Ngự Uyển,"Ẩm thực, nghỉ ngơi",36131,2.745308234509274
53,68,The Coffee House Vũ Phạm Hàm,"Đồ uống, thư giãn",132153,2.7365248896184298
75,96,La Mensa,"Đồ uống, thư giãn",81565,2.731208798925593
108,132,Vua Chả Cá Mai Hắc Đế,"Ẩm thực, nghỉ ngơi",859225,2.7250204085215444
44,55,Quán Lươn Nghệ An Bà Liêm,"Ẩm thực, nghỉ ngơi",987828,2.7001461513478446
157,184,Đền Gióng Sóc Sơn,"Văn hóa tôn giáo, tâm linh",19621,2.6886526425743753
46,58,Bún Bò Huế An Cựu,"Ẩm thực, nghỉ ngơi",127826,2.6646122819799345
124,149,Nhà hàng chay Sadhu,Ẩm thực chay,82722,2.649497906480697
14,17,Nhà sàn Bác Hồ,"Văn hóa, lịch sử, nghệ thuật",954293,2.62354836161267
106,130,Vincom Center Bà Triệu,Trung tâm thương mại,436358,2.5899401350034665
107,131,Bánh Cuốn Bà Hoành,"Ẩm thực, nghỉ ngơi",133737,2.5649726130807693
80,101,Quán Bánh mì 35,"Ẩm thực, nghỉ ngơi",365785,2.5643142736760822
36,43,Thạch Dừa Đồng Tháp,"Đồ uống, thư giãn",742534,2.5525738876258544
10,13,Chùa Châu Long,"Văn hóa tôn giáo, tâm linh",340476,2.524237862415845
66,83,The Coffee House Nguyễn Khánh Toàn,"Đồ uống, thư giãn",18618,2.516173204708444
126,151,Kem Trứng Bà Khanh,"Ẩm thực, nghỉ ngơi",489144,2.4991606172590295
154,181,Khu Phố Cổ Hà Nội,"Trải nghiệm đa dạng, văn hóa, ẩm thực,...",463529,2.4727941241013696
130,155,Nhà hàng Chay Vị Lai,Ẩm thực chay,631357,2.4548708338088048
146,172,Nhà hát Lớn Hà Nội,"Văn hóa, lịch sử, nghệ thuật",855820,2.4141251108204713
58,73,Công viên Cầu Giấy,"Công viên, đi dạo, ngắm cảnh",626318,2.389267312131878
123,148,Cung Văn hóa Lao động Hữu nghị Việt - Xô,"Văn hóa, lịch sử, nghệ thuật",93014,2.361551223194617
155,182,Hồ Đồng Đò,"Du lịch nghỉ dưỡng, cắm trại, bơi thuyền, ngắm cảnh",356398,2.3459540654652713
78,99,Laika Cafe Đường Láng,"Đồ uống, thư giãn",410539,2.3446648174644267
103,127,Phở Thìn 13 Lò Đúc,"Ẩm thực, nghỉ ngơi",929502,2.3092296990072256
143,168,Kem Tràng Tiền Hồ Gươm,"Ẩm thực, nghỉ ngơi",368928,2.308478094853541
38,45,AHA Cafe,"Đồ uống, thư giãn",898826,2.29276572772838
2,4,Bốt Nước Hàng Đậu,"Đi dạo, ngắm cảnh",161794,2.2359236062954793
118,142,Phố đường tàu Hà Nội,"Chụp ảnh, trải nghiệm, thư giãn",327394,2.223245086593579
69,87,Văn Miếu – Quốc Tử Giám,"Văn hóa, lịch sử, nghệ thuật",915018,2.216359953652905
19,24,Điện Kính Thiên,"Văn hóa, lịch sử, nghệ thuật",913720,2.2115211590284716
56,71,Highlands Coffee Trung Kính,"Đồ uống, thư giãn",290240,2.199874037727241
162,189,Trill Rooftop Cafe,"Đồ uống, thư giãn",360927,2.1679939520553404
67,84,Công viên Nghĩa Đô,"Công viên, đi dạo, ngắm cảnh",957567,2.1543004924378764
43,54,Cộng Cà Phê Vạn Phúc,"Đồ uống, thư giãn",544284,2.1437012280224366
115,139,Cháo Sườn Sụn Huyền Anh Đồng Xuân,"Ẩm thực, nghỉ ngơi",424380,2.1417810714254415
